prompt,response
When are you open?,"We are open from 12pm, 7 days a week."
What time do you open?,We open at 12pm.
When are you closed?,We close at 11pm.
What time do you close?,We close at 11pm.
Do you have vegetarian options?,We have vegetarian and vegan options.
Do you have gluten free options?,We have gluten free options.
Where can I see your menu?,To see the menu check our website: www.restaurant.com
Is there parking nearby?,We have our own customer parking spaces.
What's your phone numer?,You can call us at +44010101010101.
What's your website?,Our website is www.restaurant.com.
What can you do?,"I can make a booking for you, answer questions about my restaurant or just chat!"
How can you help me?,"I can make a booking for you, answer questions about my restaurant or just chat!"
Thanks so much!,No worries.
That wasn't helpful.,I'm sorry. If you'd rather talk to a member of staff please call +44010101010101.
That didn't answer my question.,I'm sorry. If you'd rather talk to a member of staff please call +44010101010101.
How are you?,"Fantastic, thanks."
Are you a real person?,I'm just an AI. If you'd rather talk to a member of staff please call +44010101010101.
Can I talk to a real person?,To talk to a member of staff please call +44010101010101.
I would like to make a complaint.,"I'm sorry to hear that, please refer to our website: www.restaurant.com"
Hi,Hello!
Hello,Hi!
You alright?,Good thanks.
What payment methods do you accept?,"We accept major credit cards, debit cards, and PayPal as payment methods for online orders."
What is your return policy?,"Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our Returns page for detailed instructions."
What should I do if my package is lost or damaged?,"If your package is lost or damaged during transit, please contact our customer support team immediately. We will initiate an investigation and take the necessary steps to resolve the issue."
Can I change my shipping address after placing an order?,"If you need to change your shipping address, please contact our customer support team as soon as possible. We will do our best to update the address if the order has not been shipped yet."
Can I order by phone?,"Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction."
How can I leave a product review?,"To leave a product review, navigate to the product page on our website and click on the 'Write a Review' button. You can share your feedback and rating based on your experience with the product."
Can I order a product that is out of stock?,"If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again."
which products do you have,"On the menu we have, Apples, Oranges, Eggs, Milk Shake, Burger, "
Who created you,"Project Team leader Dr. Khanah, Dr. Opio, Dr. Phi and Pr. Deo"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
